MAL_ID,Name,English name
303,Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,Oh! My Goddess:The Adventures of Mini-Goddess
304,Aa! Megami-sama! Movie,Ah! My Goddess:The Movie
305,Abashiri Ikka,Unknown
306,Abenobashi Mahou☆Shoutengai,Magical☆Shopping Arcade Abenobashi
307,Kerokko Demetan,Adventures On Rainbow Pond
308,Zettai Shounen,Unknown
309,Akahori Gedou Hour Rabuge,Akahori's Heretical Hour Love Game
310,"Chiisana Obake: Acchi, Kocchi, Socchi",Three Little Ghosts
311,Ace wo Nerae!,Unknown
312,Ace wo Nerae!: Final Stage,Unknown
313,Ace wo Nerae! (1979),Aim for the Ace! (1979)
314,Ace wo Nerae! 2,Unknown
315,Xiao Qian,A Chinese Ghost Story
316,Nageki no Kenkou Yuuryouji,"F3:Frantic, Frustrated & Female"
317,Final Fantasy VII: Advent Children,Unknown
318,Hand Maid May,Unknown
319,Happy World!,Unknown
320,A Kite,Kite
321,Najica Dengeki Sakusen,Najica Blitz Tactics
322,Paradise Kiss,Paradise Kiss
323,Mousou Dairinin,Paranoia Agent
324,Kidou Keisatsu Patlabor: On Television,Patlabor:The Mobile Police - The TV Series
325,Peach Girl,Peach Girl:Super Pop Love Hurricane
326,Petshop of Horrors,Pet Shop of Horrors
327,Puchi Pri*Yucie,Petite Princess Yucie
328,Piano (TV),Piano:The Melody of a Young Girl's Heart
329,Planetes,Planetes
330,Midori no Hibi,Midori Days
331,Mahoujin Guruguru,Magical Circle Guru Guru
332,Dokidoki♡Densetsu: Mahoujin Guruguru,Magical Circle Guru Guru 2
333,Mama wa Shougaku 4 Nensei,Mama is Just a Fourth Grade Pupil
334,Marmalade Boy,Marmalade Boy
335,Matantei Loki Ragnarok,Mythical Detective Loki Ragnarok
336,Ginyuu Mokushiroku Meine Liebe,Unknown
337,Psychic Academy,Psychic Academy
338,Versailles no Bara,The Rose of Versailles
339,Serial Experiments Lain,Serial Experiments Lain
340,Mutsu Enmei Ryuu Gaiden: Shura no Toki,Time of Shura
341,Spiral: Suiri no Kizuna,Spiral:Bond of Reasoning
342,Starship Operators,Unknown
343,Tsukuyomi: Moon Phase,Tsukuyomi:Moon Phase
344,Futatsu no Spica,Twin Spica
345,Eikoku Koi Monogatari Emma,Emma:A Victorian Romance
346,W: Wish,Double Wish
347,Wild Arms: Twilight Venom,Wild Arms
348,Binzume Yousei,Bottle Fairy
349,Magical Canan,Magical Kanan
350,Ojamajo Doremi,Magical DoReMi
351,Ojamajo Doremi Sharp,Unknown
352,Motto! Ojamajo Doremi,More! Useless Witch Doremi
353,Ojamajo Doremi Dokkaan!,Useless Witch Doremi Kaboom!
354,UG☆Ultimate Girls,Ultimate Girls
355,Shakugan no Shana,Shakugan no Shana:Season I
356,Fate/stay night,Fate/stay night
357,Bokusatsu Tenshi Dokuro-chan,Bludgeoning Angel Dokuro-chan
358,"Iriya no Sora, UFO no Natsu",Unknown
359,I'll/CKBC,I'll/CKBC
360,Himiko-den,Legend of Himiko
361,Memories Off,Unknown
362,Memories Off 2nd,Unknown
363,Memories Off 3.5,Unknown
364,Gallery Fake,Unknown
365,Fake,Unknown
366,AIKa,Agent AIKa
367,Akazukin Chacha OVA,Unknown
368,Bible Black,Unknown
369,Boogiepop wa Warawanai,Boogiepop Phantom
370,Burn Up Excess,Burn Up Excess
371,Cardcaptor Sakura Movie 1,Cardcaptor Sakura The Movie
372,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,Card Captor Sakura Movie 2:The Sealed Card
373,Bannou Bunka Neko-Musume,All Purpose Cultural Cat Girl Nuku Nuku
374,Bannou Bunka Neko-Musume DASH!,All Purpose Cultural Cat Girl Nuku Nuku Dash!
375,Bannou Bunka Neko-Musume (1998),All Purpose Cultural Cat Girl Nuku Nuku TV
376,"Elfen Lied: Tooriame nite Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka? - Regenschauer",Elfen Lied:In the Passing Rain
377,eX-Driver,Unknown
378,eX-Driver the Movie,Unknown
379,Heppoko Jikken Animation Excel♥Saga,Excel Saga
380,Fushigi Yuugi OVA,Mysterious Play OVA
381,Fushigi Yuugi: Dai Ni Bu,Mysterious Play OVA 2
382,Futari Ecchi,Step Up Love Story
383,Galaxy Angel,Unknown
384,Gantz,Gantz
385,Gilgamesh,Gilgamesh
386,H2,Unknown
387,Haibane Renmei,Haibane Renmei
388,Capeta,Unknown
389,Karas,Karas
390,Suzuka,Suzuka
391,Tales of Phantasia The Animation,Tales of Phantasia
392,Yuu☆Yuu☆Hakusho,Yu Yu Hakusho:Ghost Files
393,Escaflowne,Escaflowne:A Girl in Gaea
394,Ai Yori Aoshi: Enishi,Ai Yori Aoshi:Enishi
395,Gantz 2nd Stage,Gantz:Second Stage
396,Seikai no Senki,Banner of the Stars
